Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603",78.083000,-143.496000,270.000000,top
"C2","1uF","C_0603",100.955000,-136.777000,0.000000,top
"C3","1uF","C_0603",115.315000,-153.080000,180.000000,top
"C4","0.1uF","C_0603",100.943000,-138.301000,0.000000,top
"C5","0.1uF","C_0603",119.565000,-153.080000,0.000000,top
"C6","0.01uF","C_0603",100.931000,-139.825000,0.000000,top
"C7","0.01uF","C_0603",116.081400,-150.830000,90.000000,top
"C8","1uF","C_0603",109.186000,-155.827000,0.000000,top
"C9","1uF","C_0603",125.073000,-138.035000,90.000000,top
"C10","47uF","CP_Elec_5x5.3",92.053000,-141.984000,270.000000,top
"C11","47uF","CP_Elec_5x5.3",106.277000,-151.128000,90.000000,top
"C12","1uF","C_0603",119.854000,-143.381000,180.000000,top
"C13","0.1uF","C_0603",119.866000,-141.857000,180.000000,top
"C14","0.01uF","C_0603",119.854000,-140.333000,180.000000,top
"C15","0.01uF","C_0603",113.147000,-156.843000,180.000000,top
"C16","0.01uF","C_0603",101.185000,-157.922500,180.000000,top
"C17","1uF","C_0603",117.338000,-156.843000,0.000000,top
"C18","1uF","C_0603",105.336500,-156.525500,0.000000,top
"C19","1uF","C_0603",117.314000,-155.446000,0.000000,top
"C20","1uF","C_0603",105.336500,-157.922500,0.000000,top
"C21","0.01uF","C_0603",159.642400,-142.403800,90.000000,top
"C22","0.1uF","C_0603",121.555100,-177.239900,90.000000,top
"C23","1uF","C_0603",159.693200,-162.444400,90.000000,top
"C24","0.01uF","C_0603",84.115000,-158.105000,180.000000,top
"C25","0.1uF","C_0603",90.890000,-167.030000,0.000000,top
"C26","1uF","C_0603",88.015000,-166.205000,270.000000,top
"C27","1uF","C_0603",81.385000,-159.752000,90.000000,top
"C28","0.1uF","C_0603",81.893000,-166.634000,270.000000,top
"C29","0.01uF","C_0603",80.115000,-166.634000,270.000000,top
"D1","LED","LED_0805",156.315000,-176.190000,90.000000,top
"D2","LED","LED_0805",152.251000,-176.190000,90.000000,top
"D3","LED","LED_0805",154.283000,-176.190000,90.000000,top
"D4","D","D_SMA",97.006000,-141.508000,270.000000,top
"D5","D","D_SMA",118.723000,-148.810000,90.000000,top
"D6","LED","LED_0805",146.155000,-177.714000,90.000000,top
"D7","LED","LED_0805",144.123000,-177.714000,90.000000,top
"D8","D","D_SMA",137.315000,-143.330000,90.000000,top
"D9","LED","LED_0805",142.091000,-177.714000,90.000000,top
"D10","LED","LED_0805",150.219000,-177.714000,90.000000,top
"D11","LED","LED_0805",148.187000,-177.714000,90.000000,top
"EN1","Conn_01x04","JST_SH_BM04B-SRSS-TB_04x1.00mm_Straight",163.172136,-166.816810,90.000000,top
"EN2","Conn_01x04","JST_SH_BM04B-SRSS-TB_04x1.00mm_Straight",163.172136,-157.926810,90.000000,top
"EN3","Conn_01x04","JST_SH_BM04B-SRSS-TB_04x1.00mm_Straight",163.172136,-146.786810,90.000000,top
"EN4","Conn_01x04","JST_SH_BM04B-SRSS-TB_04x1.00mm_Straight",163.172136,-138.011810,90.000000,top
"F1","Polyfuse 3A","R_1812",137.265000,-134.872000,270.000000,top
"L1","4.7uH","L_7.3x6.8",99.292000,-150.262000,90.000000,top
"L2","4.7uH","L_7.3x6.8",113.135000,-142.786500,270.000000,top
"R1","1K","R_0603",80.065000,-153.830000,0.000000,top
"R2","1K","R_0603",80.065000,-151.390000,0.000000,top
"R3","1K","R_0603",135.487000,-160.792000,90.000000,top
"R4","1K","R_0603",129.391000,-160.792000,270.000000,top
"R5","1K","R_0603",82.147000,-163.435000,90.000000,top
"R8","1K","R_0603",111.230000,-162.165000,90.000000,top
"R29","1.5K","R_0603",132.439000,-160.792000,90.000000,top
"R30","200K","R_0603",105.896000,-141.603000,90.000000,top
"R31","13.5K","R_0603",105.896000,-144.258000,90.000000,top
"R32","200K","R_0603",112.415000,-153.180000,270.000000,top
"R33","27K","R_0603",110.515000,-153.180000,90.000000,top
"R34","1.5K","R_0603",133.963000,-160.792000,90.000000,top
"R35","1K","R_0603",122.787000,-151.624000,270.000000,top
"R36","2K","R_0603",124.565000,-151.648000,270.000000,top
"R37","1K","R_0603",105.896000,-137.551000,270.000000,top
"R38","1K","R_0603",127.879000,-136.904000,0.000000,top
"R39","1K","R_0603",126.851000,-147.584000,270.000000,top
"R40","1K","R_0603",123.041000,-140.980000,270.000000,top
"R41","1K","R_0603",126.851000,-144.790000,270.000000,top
"R42","1K","R_0603",127.867000,-160.792000,90.000000,top
"R43","1K","R_0603",126.343000,-160.792000,90.000000,top
"R44","100K","R_0603",130.661000,-142.353000,270.000000,top
"R45","200K","R_0603",130.661000,-139.456000,270.000000,top
"R46","1K","R_0603",124.819000,-160.792000,90.000000,top
"R47","1K","R_0603",130.915000,-160.792000,90.000000,top
"R48","10","R_0603",132.197000,-134.999000,0.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",135.995000,-126.998000,180.000000,top
"U2","ATSAMD21E15L","QFN-32-1EP_5x5mm_Pitch0.5mm",90.275000,-160.780000,180.000000,top
"U4","SY7304DBC","DFN-10-1EP_3x3mm_Pitch0.5mm",101.952500,-143.396000,0.000000,top
"U5","SY7304DBC","DFN-10-1EP_3x3mm_Pitch0.5mm",111.547500,-149.731000,180.000000,top
"U6","BQ24092DGQR","MSOP-10-1EP_3x3mm_Pitch0.5mm",123.535000,-146.250000,90.000000,top
"U7","LMV321","SOT-23-5",127.867000,-140.630000,90.000000,top
"U8","AZ1117-3.3","SOT-223-3_TabPin2",76.815000,-160.780000,270.000000,top
"U9","DRV8833RTYR","WQFN-16-1EP_4x4mm_Pitch0.65mm_ThermalVias",115.167000,-160.272000,90.000000,top
"U10","DRV8833RTYR","WQFN-16-1EP_4x4mm_Pitch0.65mm_ThermalVias",103.229000,-161.490500,90.000000,top
